app,CATEGORY,SUBCATEGORY,TECHNOLOGY,RISK,EVASIVE,EXCESSIVE_BANDWIDTH,USED_BY_MALWARE,ABLE TO TRANSFER FILE,HAS KNOWN VULNERABILITY,TUNNELS OTHER APPLICATION,PRONE TO MISUSE,PERVASIVE_USE,SAAS
snmp,networking,infrastructure,client-server,2,no,no,no,no,yes,no,no,yes,no
pipe,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
sctp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
fibre-channel,networking,ip-protocol,network-protocol,2,no,yes,no,yes,no,no,no,yes,no
mobilehdr,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,yes,no
udplite,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
mpls-in-ip,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
unassigned-ip-prot,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
exp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
reserved,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
pna,media,photo-video,client-server,1,no,yes,no,no,no,no,no,no,no
snmp-trap,networking,infrastructure,client-server,3,no,no,yes,no,yes,no,no,yes,no
teredo,networking,routing,network-protocol,1,no,no,no,no,no,yes,no,no,no
backweb,business-systems,erp-crm,browser-based,1,no,no,no,yes,no,no,no,no,yes
rss,general-internet,internet-utility,client-server,5,yes,no,yes,yes,yes,yes,no,yes,no
http-audio,media,audio-streaming,browser-based,5,no,yes,yes,yes,yes,yes,no,yes,no
http-video,media,photo-video,browser-based,5,no,yes,yes,yes,yes,yes,no,yes,no
msn-http-gate,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
azureus,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
messengerfx,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,no,no,yes,no
ms-update,business-systems,software-update,client-server,4,yes,yes,no,yes,yes,yes,no,yes,no
ustream,media,photo-video,browser-based,3,no,yes,no,yes,yes,no,no,yes,no
iloveim,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,no,no,yes,no
meetro,collaboration,instant-messaging,client-server,3,yes,no,no,yes,no,yes,no,yes,no
irc,collaboration,instant-messaging,client-server,5,no,no,yes,yes,yes,yes,yes,yes,no
cpq-wbem,business-systems,management,client-server,3,yes,yes,no,no,yes,no,no,yes,no
p10,collaboration,instant-messaging,client-server,4,yes,yes,no,yes,yes,no,no,yes,no
source-engine,media,gaming,client-server,4,no,yes,yes,no,yes,yes,no,yes,no
adobe-connect,collaboration,internet-conferencing,browser-based,3,yes,no,no,no,yes,yes,no,no,yes
imhaha,collaboration,instant-messaging,browser-based,4,yes,no,no,yes,yes,no,no,yes,no
manolito,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
distcc,business-systems,general-business,client-server,1,no,no,no,no,yes,no,no,no,no
nagios,business-systems,management,browser-based,1,no,no,no,no,yes,no,no,no,no
ircs,general-internet,file-sharing,client-server,5,no,no,yes,yes,yes,yes,yes,yes,no
radiusim,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,yes,no,yes,no
groupwise,collaboration,email,client-server,3,no,no,no,yes,yes,no,no,yes,no
discard,business-systems,management,client-server,1,no,no,no,no,yes,no,no,no,no
daytime,business-systems,management,client-server,1,no,no,no,no,yes,no,no,no,no
ldap,business-systems,auth-service,client-server,2,no,no,no,no,yes,yes,no,yes,no
hp-data-protector,business-systems,storage-backup,client-server,1,no,yes,no,no,no,no,no,no,no
uusee,media,photo-video,peer-to-peer,4,yes,yes,no,yes,yes,no,no,yes,no
carbonite,business-systems,storage-backup,browser-based,3,yes,yes,no,yes,no,no,no,yes,yes
pando,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,no,no
titanize,general-internet,file-sharing,browser-based,3,yes,yes,no,yes,no,no,yes,no,no
mozy,business-systems,storage-backup,client-server,3,yes,no,no,yes,no,no,no,yes,yes
yousendit,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,yes,yes,yes
avaya-phone-ping,business-systems,management,client-server,2,no,no,no,no,yes,no,no,yes,no
bypassthat,networking,proxy,client-server,5,yes,no,yes,yes,no,yes,yes,yes,no
xdmcp,networking,remote-access,client-server,3,no,no,no,no,yes,yes,yes,yes,no
siteminder,business-systems,auth-service,client-server,2,no,no,no,no,yes,no,no,yes,no
daum-cloud,general-internet,file-sharing,browser-based,4,yes,no,no,yes,yes,no,no,yes,yes
bypass,networking,proxy,client-server,5,yes,no,yes,yes,no,yes,yes,yes,no
salesforce,business-systems,erp-crm,browser-based,2,no,no,no,yes,no,no,no,yes,yes
megaupload,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,yes,yes,yes
dealio-toolbar,general-internet,internet-utility,client-server,2,yes,no,no,no,no,no,no,yes,no
eyejot,collaboration,voip-video,browser-based,2,no,yes,no,yes,no,no,no,no,no
http-tunnel,networking,proxy,client-server,5,yes,no,yes,yes,no,yes,yes,yes,no
pingfu,networking,proxy,client-server,5,yes,no,yes,yes,no,yes,yes,no,no
filemaker-anouncement,business-systems,database,client-server,1,no,no,no,no,no,no,no,no,no
ms-frs,networking,infrastructure,network-protocol,3,no,no,no,yes,yes,no,no,yes,no
syslog,business-systems,management,client-server,2,no,no,no,no,yes,no,no,yes,no
cups,business-systems,management,client-server,3,no,no,yes,no,yes,no,no,yes,no
netvmg-traceroute,networking,infrastructure,client-server,1,no,no,no,no,no,no,no,yes,no
afp,business-systems,storage-backup,client-server,3,no,yes,no,yes,yes,no,no,yes,no
socks2http,networking,proxy,network-protocol,5,yes,no,yes,yes,no,yes,yes,yes,no
myspace-im,collaboration,instant-messaging,client-server,3,yes,no,yes,no,no,no,no,yes,no
httport,networking,proxy,client-server,5,yes,no,yes,yes,no,yes,yes,yes,no
move-networks,media,photo-video,client-server,1,no,yes,no,no,no,no,no,yes,no
trinoo,general-internet,internet-utility,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
ndmp,business-systems,storage-backup,peer-to-peer,4,no,yes,no,yes,yes,yes,no,yes,no
lpd,business-systems,management,client-server,3,no,no,yes,no,yes,no,no,yes,no
allpeers,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
trendmicro,business-systems,software-update,client-server,1,no,no,no,no,no,no,no,yes,no
babelgum,media,photo-video,peer-to-peer,4,yes,yes,no,no,yes,no,yes,yes,no
thinkfree,business-systems,office-programs,browser-based,4,no,no,yes,yes,yes,no,no,yes,yes
dabbledb,business-systems,database,browser-based,2,no,no,no,yes,no,no,yes,yes,no
avoidr,networking,proxy,browser-based,4,yes,no,no,yes,no,yes,yes,yes,no
vtunnel,networking,proxy,browser-based,4,yes,no,no,yes,no,yes,yes,no,no
apple-update,business-systems,software-update,client-server,3,yes,yes,no,yes,no,no,no,yes,no
xdrive,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,no,no,yes,yes,no
rtsp,media,photo-video,client-server,3,no,yes,no,no,yes,yes,no,yes,no
boxnet,general-internet,file-sharing,browser-based,3,yes,yes,no,yes,no,no,yes,no,yes
jap,networking,proxy,client-server,5,yes,no,yes,yes,no,yes,yes,yes,no
eiq-sec-analyzer,business-systems,management,browser-based,1,no,no,no,no,yes,no,no,no,no
hi5,collaboration,social-networking,browser-based,2,no,yes,no,yes,no,no,no,yes,no
fastviewer,networking,remote-access,client-server,3,yes,no,no,yes,no,yes,no,yes,no
teamviewer,networking,remote-access,client-server,4,no,no,no,yes,yes,yes,yes,yes,no
ca-mq-service,business-systems,storage-backup,client-server,2,no,no,no,yes,yes,no,no,no,no
ipp,business-systems,management,client-server,2,no,no,no,no,yes,no,no,yes,no
avocent,networking,remote-access,client-server,3,no,no,no,yes,yes,no,no,yes,no
netviewer,networking,remote-access,client-server,3,yes,no,no,yes,no,yes,no,yes,no
ants-p2p,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
peercast,media,photo-video,peer-to-peer,1,no,yes,no,no,no,no,no,yes,no
sosbackup,business-systems,storage-backup,client-server,4,yes,yes,no,yes,yes,no,yes,yes,yes
party-poker,media,gaming,browser-based,4,yes,yes,yes,no,yes,no,no,yes,no
poker-stars,media,gaming,browser-based,4,yes,yes,yes,no,yes,no,no,yes,no
flexnet-installanywhere,business-systems,software-update,client-server,1,no,no,no,no,no,no,no,no,no
knight-online,media,gaming,client-server,3,no,yes,yes,no,yes,no,no,yes,no
dotmac,business-systems,storage-backup,client-server,3,yes,yes,no,yes,no,no,no,yes,no
meebo-repeater,collaboration,instant-messaging,client-server,3,yes,no,no,yes,no,yes,no,yes,no
time,business-systems,management,client-server,1,no,no,no,no,no,no,no,no,no
netop-remote-control,networking,remote-access,client-server,3,no,yes,no,yes,no,yes,no,yes,no
ppstream,media,photo-video,peer-to-peer,4,yes,yes,no,yes,yes,no,yes,yes,no
tvants,media,photo-video,peer-to-peer,4,yes,yes,no,yes,yes,no,yes,yes,no
ms-rdp,networking,remote-access,client-server,4,no,no,yes,yes,yes,yes,no,yes,no
war-rock,media,gaming,client-server,3,no,yes,yes,no,yes,no,no,yes,no
sharepoint-blog-posting,business-systems,general-business,browser-based,3,no,no,no,yes,yes,no,no,yes,no
vnc-http,networking,remote-access,browser-based,5,no,no,yes,yes,yes,yes,yes,yes,no
unyte,networking,remote-access,client-server,3,yes,no,no,yes,no,yes,no,yes,no
yugma,collaboration,internet-conferencing,browser-based,3,yes,no,no,yes,no,no,no,yes,yes
seamless-phenom,general-internet,file-sharing,peer-to-peer,4,yes,yes,no,yes,no,yes,no,yes,no
eroom-net,collaboration,internet-conferencing,browser-based,4,yes,no,no,yes,yes,no,no,yes,yes
vyew,collaboration,internet-conferencing,browser-based,4,yes,no,no,yes,no,yes,yes,no,yes
vnc,networking,remote-access,client-server,5,no,no,yes,yes,yes,yes,yes,yes,no
eroom-host,collaboration,internet-conferencing,client-server,3,yes,no,no,yes,no,no,no,yes,no
pcanywhere,networking,remote-access,client-server,2,no,no,no,no,yes,no,yes,yes,no
ms-netlogon,business-systems,auth-service,client-server,2,no,no,no,no,yes,no,no,yes,no
megashares,general-internet,file-sharing,browser-based,5,yes,yes,yes,yes,yes,no,yes,yes,yes
yahoo-mail,collaboration,email,browser-based,3,no,no,yes,yes,no,no,no,yes,yes
webex-weboffice,business-systems,office-programs,browser-based,3,yes,no,no,yes,no,yes,no,yes,no
facebook-base,collaboration,social-networking,browser-based,4,no,no,yes,yes,yes,yes,no,yes,yes
wolfenstein,media,gaming,client-server,3,no,yes,yes,no,yes,no,no,yes,no
meebome,collaboration,instant-messaging,browser-based,3,yes,no,no,yes,no,yes,no,yes,no
google-desktop,general-internet,internet-utility,client-server,4,yes,no,no,yes,yes,no,yes,yes,no
http-proxy,networking,proxy,browser-based,5,yes,no,yes,yes,yes,yes,yes,yes,no
last.fm,media,audio-streaming,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
wuala,general-internet,file-sharing,client-server,2,no,yes,no,yes,no,no,no,yes,no
grooveshark,media,audio-streaming,browser-based,3,yes,yes,no,yes,no,no,no,yes,no
seeqpod,media,audio-streaming,browser-based,4,yes,yes,no,yes,no,yes,no,yes,no
fastmail,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,yes
pplive,media,photo-video,peer-to-peer,4,yes,yes,no,yes,yes,no,no,yes,no
google-cloud-messaging,general-internet,internet-utility,client-server,1,no,no,no,no,no,no,no,no,no
google-calendar,business-systems,office-programs,browser-based,2,no,no,no,yes,no,no,no,yes,yes
google-docs,business-systems,office-programs,browser-based,5,yes,no,yes,yes,yes,no,no,yes,yes
google-picasa,media,photo-video,client-server,3,yes,yes,no,yes,no,no,no,yes,no
gizmo,collaboration,voip-video,peer-to-peer,5,yes,yes,yes,yes,yes,no,no,yes,no
elluminate,collaboration,internet-conferencing,browser-based,4,yes,no,no,yes,no,yes,yes,yes,yes
ypserv,networking,infrastructure,client-server,1,no,no,no,no,yes,no,no,no,no
rusers,business-systems,management,client-server,2,no,no,no,no,yes,no,yes,yes,no
rstatd,business-systems,management,client-server,2,no,no,no,no,yes,no,no,yes,no
mysql,business-systems,database,client-server,2,no,no,no,no,yes,no,no,yes,no
mssql-db,business-systems,database,client-server,2,no,no,no,no,yes,yes,no,yes,no
xfire,collaboration,instant-messaging,client-server,1,no,no,no,yes,no,no,no,no,no
mssql-mon,business-systems,database,client-server,2,no,no,no,no,yes,no,no,yes,no
google-toolbar,general-internet,internet-utility,client-server,2,no,yes,no,no,no,no,yes,yes,no
send-to-phone,collaboration,email,client-server,1,yes,no,no,no,no,no,no,no,no
oracle,business-systems,database,client-server,2,no,no,no,no,yes,no,no,yes,no
foonz,collaboration,voip-video,browser-based,1,no,yes,no,no,no,no,no,yes,no
tokbox,collaboration,voip-video,browser-based,3,yes,yes,no,no,yes,no,no,yes,yes
sip,collaboration,voip-video,peer-to-peer,4,no,yes,yes,no,yes,yes,no,yes,no
ebay-desktop,general-internet,internet-utility,client-server,2,yes,no,no,no,no,no,no,yes,no
generic-p2p,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
ms-win-dns,networking,infrastructure,network-protocol,2,no,no,no,no,yes,no,no,yes,no
t.120,networking,infrastructure,network-protocol,3,no,yes,no,yes,yes,yes,no,no,no
msn-sharing,collaboration,instant-messaging,client-server,2,no,no,no,no,yes,no,yes,no,no
norton-av-broadcast,business-systems,management,client-server,1,no,no,no,no,no,no,yes,no,no
mcafee,business-systems,software-update,client-server,1,no,no,no,no,no,no,no,yes,no
userplane,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,no,no,yes,no
myspace-mail,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
linkedin,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,no,no,yes,yes
aim-mail,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,yes
socialtv,media,photo-video,browser-based,4,yes,yes,no,yes,yes,no,yes,yes,no
windows-media-player,media,audio-streaming,client-server,3,no,yes,no,yes,yes,no,no,yes,no
itunes,media,audio-streaming,client-server,3,yes,no,no,no,yes,no,no,yes,no
convoq,collaboration,internet-conferencing,browser-based,3,no,no,no,yes,no,yes,yes,no,no
pandora,media,audio-streaming,browser-based,3,no,yes,no,yes,yes,no,no,yes,no
h.323,collaboration,voip-video,client-server,4,no,yes,yes,yes,yes,no,no,yes,no
cvsup,business-systems,storage-backup,client-server,3,no,no,no,yes,yes,no,no,yes,no
tor,networking,encrypted-tunnel,client-server,4,yes,no,no,yes,yes,yes,yes,no,no
youtube,media,photo-video,browser-based,4,yes,yes,yes,no,yes,no,no,yes,yes
joost,media,photo-video,peer-to-peer,2,yes,yes,no,no,no,no,no,yes,no
logmein,networking,remote-access,client-server,4,no,yes,no,yes,yes,yes,no,yes,no
hotmail,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
apple-airport,networking,infrastructure,network-protocol,2,no,no,no,no,yes,no,no,yes,no
sharepoint,collaboration,social-business,browser-based,3,no,no,no,yes,yes,yes,no,yes,no
sharepoint-documents,business-systems,general-business,browser-based,3,no,no,no,yes,yes,yes,no,yes,no
sharepoint-calendar,business-systems,general-business,browser-based,3,no,no,no,yes,yes,no,no,yes,no
rwho,general-internet,internet-utility,client-server,1,no,no,no,no,no,no,no,yes,no
netspoke,collaboration,internet-conferencing,browser-based,1,no,no,no,no,no,no,no,no,yes
kazaa,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,yes,yes,yes,no
logitech-webcam,collaboration,voip-video,client-server,2,yes,yes,no,no,no,no,no,yes,no
dropboks,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,no,no,yes,yes,no
esnips,general-internet,file-sharing,browser-based,3,yes,yes,no,yes,no,no,no,yes,yes
beinsync,networking,remote-access,client-server,2,no,no,no,yes,no,no,no,yes,no
omnidrive,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,no,no,yes,yes,no
mediamax,general-internet,file-sharing,browser-based,3,yes,yes,no,yes,no,no,no,yes,no
openomy,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,yes,yes,no
msn,collaboration,instant-messaging,client-server,4,no,no,yes,yes,yes,yes,no,yes,no
friendvox,collaboration,instant-messaging,browser-based,4,yes,no,yes,yes,no,no,no,yes,no
aim-express,collaboration,instant-messaging,browser-based,4,yes,no,yes,no,yes,yes,no,yes,no
neokast,media,photo-video,client-server,3,yes,yes,no,yes,no,no,no,yes,no
metacafe,media,photo-video,browser-based,4,yes,yes,no,yes,no,yes,no,yes,no
ebuddy,collaboration,instant-messaging,browser-based,4,yes,no,yes,no,yes,yes,no,yes,no
icq2go,collaboration,instant-messaging,browser-based,3,no,no,yes,no,yes,no,no,yes,yes
web-crawler,general-internet,internet-utility,browser-based,4,no,no,yes,yes,yes,yes,no,no,no
msn-toolbar,general-internet,internet-utility,client-server,3,yes,no,no,yes,no,no,yes,yes,no
tubes,general-internet,file-sharing,peer-to-peer,4,yes,yes,yes,yes,no,no,yes,no,no
symantec-syst-center,business-systems,management,client-server,1,no,no,no,no,no,no,yes,no,no
yahoo-toolbar,general-internet,internet-utility,client-server,2,yes,no,no,no,no,no,no,yes,no
meru-l3-ap-discovery,networking,infrastructure,network-protocol,1,no,no,no,no,no,no,no,yes,no
gdbremote,networking,remote-access,client-server,1,no,no,no,yes,no,no,no,no,no
stumbleupon,collaboration,social-networking,browser-based,5,yes,no,yes,yes,yes,yes,no,yes,no
gmail,collaboration,email,browser-based,4,no,no,yes,yes,yes,yes,no,yes,yes
bitdefender,business-systems,management,client-server,3,no,yes,no,yes,yes,no,no,no,no
ms-dtc,business-systems,management,client-server,2,no,no,no,no,yes,no,no,yes,no
gnutella,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,yes,yes,yes,no
limewire,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
kaspersky,business-systems,software-update,client-server,1,no,yes,no,no,no,no,no,yes,no
crossloop,networking,remote-access,client-server,4,yes,no,no,yes,no,yes,yes,no,no
radmin,networking,remote-access,client-server,4,no,no,yes,yes,yes,yes,no,no,no
meta4,business-systems,erp-crm,browser-based,2,no,no,no,no,yes,no,no,yes,yes
camfrog,collaboration,voip-video,peer-to-peer,5,yes,yes,yes,yes,yes,no,no,yes,yes
netbotz,business-systems,management,browser-based,1,no,no,no,no,no,yes,no,no,no
scotty,networking,proxy,client-server,4,yes,no,no,yes,no,yes,yes,no,no
campfire,collaboration,internet-conferencing,browser-based,3,no,no,yes,yes,no,no,yes,no,yes
tacacs-plus,business-systems,auth-service,client-server,1,no,no,no,no,no,no,yes,yes,no
x11,networking,remote-access,client-server,5,no,no,yes,yes,yes,yes,yes,yes,no
yahoo-im,collaboration,instant-messaging,client-server,4,yes,no,yes,no,yes,no,no,yes,yes
cnn-video,media,photo-video,browser-based,1,no,yes,no,no,no,no,no,yes,no
postgres,business-systems,database,client-server,2,no,no,no,no,yes,no,no,yes,no
google-talk,collaboration,instant-messaging,client-server,4,yes,no,yes,no,yes,yes,no,yes,no
tesla-car-app,business-systems,management,client-server,1,no,no,no,no,no,no,no,no,no
gtalk-voice,collaboration,voip-video,peer-to-peer,4,yes,yes,yes,no,yes,no,no,yes,no
flash,general-internet,internet-utility,browser-based,4,no,yes,yes,no,yes,yes,no,yes,no
msn-video,collaboration,voip-video,peer-to-peer,3,no,yes,yes,no,yes,no,no,yes,no
rping,networking,routing,network-protocol,3,no,no,yes,no,yes,no,no,yes,no
msn-voice,collaboration,voip-video,peer-to-peer,4,yes,yes,yes,no,yes,no,no,yes,no
jabber,collaboration,instant-messaging,client-server,5,yes,no,yes,yes,yes,yes,no,yes,no
winmx,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
tacacs,business-systems,auth-service,client-server,1,no,no,no,no,no,no,yes,yes,no
spark-im,collaboration,instant-messaging,client-server,1,no,no,no,no,no,yes,no,no,no
dropbox-web-uploading,general-internet,file-sharing,client-server,3,no,no,no,yes,yes,no,no,yes,yes
qq,collaboration,instant-messaging,client-server,4,no,no,yes,yes,yes,yes,no,yes,no
rtp,media,photo-video,client-server,2,no,yes,no,yes,no,no,no,yes,no
howardforums-posting,collaboration,web-posting,browser-based,3,no,no,no,yes,yes,no,no,yes,no
spirent,business-systems,management,client-server,1,no,no,no,no,no,no,no,no,no
folding-at-home,general-internet,internet-utility,client-server,1,no,yes,no,no,no,no,no,yes,no
centriccrm,business-systems,erp-crm,browser-based,2,no,no,no,yes,no,no,no,yes,yes
ms-wins,networking,infrastructure,network-protocol,2,no,no,no,no,yes,no,no,yes,no
aim,collaboration,instant-messaging,client-server,4,no,no,yes,no,yes,yes,no,yes,yes
gotomeeting,collaboration,internet-conferencing,client-server,3,yes,no,no,yes,no,no,yes,yes,yes
flashget,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
meebo-file-transfer,general-internet,file-sharing,browser-based,5,yes,no,yes,yes,yes,no,no,yes,no
teamsound,collaboration,voip-video,peer-to-peer,1,no,yes,no,no,no,no,no,yes,no
blog-posting,collaboration,web-posting,browser-based,4,no,no,no,yes,yes,yes,yes,no,no
draugiem,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,no,no,yes,no
dynamicintranet,business-systems,general-business,browser-based,2,no,no,no,yes,no,no,no,yes,no
rip,networking,routing,network-protocol,2,no,yes,no,no,yes,no,no,yes,no
webex,collaboration,internet-conferencing,client-server,3,yes,no,no,yes,no,yes,no,yes,yes
inforeach,business-systems,erp-crm,client-server,1,no,no,no,no,no,no,no,yes,no
blackberry,collaboration,email,client-server,4,no,no,yes,yes,yes,no,no,yes,no
wins,networking,infrastructure,client-server,2,no,no,no,no,yes,no,no,yes,no
securemeeting,collaboration,internet-conferencing,browser-based,3,yes,no,no,yes,no,yes,no,no,yes
mgcp,collaboration,voip-video,network-protocol,2,no,no,no,no,yes,no,no,yes,no
hamachi,networking,encrypted-tunnel,peer-to-peer,5,yes,no,yes,yes,yes,yes,yes,yes,no
bomberclone,media,gaming,client-server,1,no,no,no,no,no,no,no,no,no
veohtv,media,photo-video,browser-based,3,yes,yes,no,yes,no,no,no,yes,no
cloudon,business-systems,office-programs,client-server,2,no,no,no,yes,yes,no,no,no,yes
bubbly,collaboration,social-networking,client-server,1,no,no,no,yes,no,no,no,no,no
sharepoint-admin,business-systems,general-business,client-server,3,no,no,no,yes,yes,no,no,yes,no
r-exec,networking,remote-access,client-server,5,yes,no,yes,yes,yes,no,no,yes,no
little-fighter,media,gaming,client-server,1,no,no,no,no,no,no,no,no,no
mount,networking,infrastructure,network-protocol,3,no,no,yes,no,yes,no,no,yes,no
sharepoint-wiki,collaboration,web-posting,browser-based,3,no,no,no,yes,yes,no,no,yes,no
sopcast,media,photo-video,peer-to-peer,5,yes,yes,no,yes,yes,yes,yes,yes,no
innovative,business-systems,erp-crm,client-server,1,no,no,no,no,no,no,no,yes,no
outlook-web,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
clarizen,business-systems,management,browser-based,4,yes,no,no,yes,yes,no,yes,yes,yes
icq,collaboration,instant-messaging,client-server,4,no,no,yes,no,yes,yes,no,yes,no
myspace,collaboration,social-networking,browser-based,4,no,no,yes,yes,yes,yes,no,yes,no
netware-remote-console,business-systems,management,client-server,1,no,no,no,no,yes,no,no,no,no
hp-jetdirect,business-systems,management,client-server,3,no,no,yes,no,yes,no,no,yes,no
rtmp,media,photo-video,browser-based,4,no,yes,no,yes,yes,yes,no,yes,no
foldershare,general-internet,file-sharing,browser-based,3,yes,yes,no,yes,no,no,no,yes,no
gotomypc,networking,remote-access,client-server,2,yes,no,no,no,no,no,yes,yes,no
lifecam,collaboration,voip-video,client-server,2,yes,yes,no,no,no,no,no,yes,no
webot,networking,remote-access,client-server,4,yes,yes,yes,yes,no,no,yes,no,no
oovoo,collaboration,voip-video,peer-to-peer,2,yes,no,no,no,no,no,no,yes,yes
stun,networking,infrastructure,network-protocol,2,yes,no,no,no,no,yes,no,yes,no
aim-video,collaboration,voip-video,peer-to-peer,3,no,yes,yes,no,yes,no,no,yes,yes
aim-audio,collaboration,voip-video,peer-to-peer,4,no,yes,yes,yes,yes,no,no,yes,yes
jaspersoft,business-systems,management,browser-based,1,no,no,no,no,no,no,yes,yes,no
circumventor,networking,proxy,browser-based,5,yes,no,yes,yes,no,yes,yes,no,no
mms,media,photo-video,client-server,3,no,yes,no,no,yes,yes,no,yes,no
avamar,business-systems,storage-backup,client-server,2,no,yes,no,yes,no,no,no,no,no
yahoo-voice,collaboration,voip-video,peer-to-peer,4,yes,no,yes,no,yes,no,no,yes,yes
verizon-wsync,collaboration,email,client-server,2,yes,no,no,yes,no,no,no,no,no
google-earth,general-internet,internet-utility,client-server,3,yes,yes,no,yes,no,no,no,yes,yes
foldera,networking,remote-access,client-server,5,yes,yes,no,yes,yes,yes,yes,yes,no
chargen,business-systems,management,network-protocol,1,no,no,no,no,no,no,yes,yes,no
jira,business-systems,general-business,browser-based,2,no,no,no,no,yes,no,no,yes,?update to include commercial cloud offering 
soulseek,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
google-safebrowsing,general-internet,internet-utility,browser-based,2,no,no,no,no,yes,no,no,yes,no
direct-connect,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,yes,yes,yes,no
siebel-crm,business-systems,erp-crm,client-server,3,no,no,no,yes,yes,no,yes,no,no
livelink,business-systems,general-business,browser-based,2,no,no,no,yes,no,no,yes,no,no
battlefield2,media,gaming,client-server,2,no,yes,no,no,yes,no,no,yes,no
atom,general-internet,internet-utility,client-server,4,no,no,yes,yes,yes,yes,no,yes,no
lotus-notes-admin,collaboration,email,client-server,2,no,no,no,no,yes,no,yes,yes,no
imvu,collaboration,instant-messaging,client-server,3,yes,yes,no,yes,no,no,no,no,no
fix,business-systems,general-business,client-server,1,yes,no,no,no,no,no,no,no,no
yoomba,collaboration,voip-video,peer-to-peer,4,yes,no,no,yes,yes,no,no,yes,no
ruckus,media,audio-streaming,browser-based,4,yes,yes,no,yes,no,no,yes,yes,no
msrpc,networking,infrastructure,network-protocol,2,no,no,no,no,yes,yes,no,yes,no
apc-powerchute,business-systems,general-business,client-server,2,no,no,no,no,yes,no,yes,no,no
phproxy,networking,proxy,browser-based,5,yes,no,yes,yes,yes,yes,yes,yes,no
asproxy,networking,proxy,browser-based,5,yes,no,yes,yes,yes,yes,yes,no,no
lotus-sametime,collaboration,instant-messaging,client-server,4,no,no,yes,yes,yes,no,yes,yes,yes
zelune,networking,proxy,browser-based,5,yes,no,yes,yes,yes,yes,yes,no,no
google-analytics,general-internet,internet-utility,browser-based,2,yes,no,no,no,no,no,no,yes,no
freecast,media,audio-streaming,browser-based,2,yes,yes,no,no,no,no,no,yes,no
blokus,media,gaming,browser-based,1,no,yes,no,no,no,no,no,yes,no
surrogafier,networking,proxy,browser-based,4,yes,no,no,yes,no,yes,yes,yes,no
sap,business-systems,erp-crm,client-server,3,no,no,no,yes,yes,no,no,yes,no
websense,business-systems,software-update,client-server,1,no,no,no,no,no,no,no,yes,no
rapidshare,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,yes,yes,yes
simplenote,general-internet,internet-utility,client-server,1,no,no,no,no,no,no,no,yes,yes
vsee,collaboration,voip-video,network-protocol,4,yes,yes,no,yes,no,yes,yes,no,no
