app,CATEGORY,SUBCATEGORY,TECHNOLOGY,RISK,EVASIVE,EXCESSIVE_BANDWIDTH,USED_BY_MALWARE,ABLE TO TRANSFER FILE,HAS KNOWN VULNERABILITY,TUNNELS OTHER APPLICATION,PRONE TO MISUSE,PERVASIVE_USE,SAAS
ntp,networking,infrastructure,network-protocol,2,no,no,yes,no,no,no,no,yes,no
openft,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
poco,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
ssl,networking,encrypted-tunnel,browser-based,4,no,no,yes,yes,yes,yes,no,yes,no
shoebox,media,photo-video,client-server,1,no,no,no,yes,no,no,no,no,no
rlogin,networking,remote-access,client-server,4,no,no,yes,no,yes,no,yes,yes,no
shoutcast,media,audio-streaming,client-server,1,no,yes,no,no,no,no,no,yes,no
soribada,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
ssdp,networking,infrastructure,peer-to-peer,1,no,no,no,no,no,no,no,no,no
subspace,media,gaming,client-server,3,yes,yes,no,no,yes,no,no,yes,no
subversion,business-systems,general-business,client-server,3,no,no,no,yes,yes,yes,no,yes,no
teamspeak,collaboration,voip-video,peer-to-peer,1,no,yes,no,no,no,no,no,yes,no
tesla,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,no,no
smtp,collaboration,email,client-server,5,no,no,yes,yes,yes,yes,yes,yes,no
thecircle,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
ospfigp,networking,routing,network-protocol,1,no,no,no,no,no,no,no,no,no
uucp,business-systems,storage-backup,client-server,2,no,no,no,yes,yes,no,no,no,no
paloalto-userid-agent,business-systems,auth-service,client-server,1,no,no,no,no,no,no,no,no,no
ventrilo,collaboration,voip-video,peer-to-peer,1,no,yes,no,no,no,no,no,yes,no
whois,general-internet,internet-utility,client-server,1,no,no,no,no,no,no,no,yes,no
worldofwarcraft,media,gaming,client-server,3,no,yes,yes,no,yes,no,no,yes,no
xbox-live,media,gaming,client-server,3,no,yes,no,no,yes,yes,no,yes,no
xunlei,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
kproxy,networking,proxy,browser-based,5,yes,no,yes,yes,yes,yes,yes,no,no
zmaap,networking,infrastructure,network-protocol,1,no,no,no,no,no,no,no,no,no
imap,collaboration,email,client-server,4,no,no,yes,yes,yes,no,no,yes,no
applejuice,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
netbios-dg,networking,infrastructure,network-protocol,2,no,no,no,no,yes,no,no,yes,no
rsh,networking,remote-access,client-server,4,no,no,yes,yes,yes,no,yes,yes,no
ichat-av,collaboration,voip-video,peer-to-peer,3,no,yes,yes,no,yes,no,no,yes,no
ms-exchange,collaboration,email,client-server,4,no,no,yes,yes,yes,no,no,yes,no
rdt,media,photo-video,client-server,2,no,yes,no,yes,no,no,no,yes,no
sling,media,photo-video,client-server,2,yes,yes,no,no,no,no,no,yes,no
sccp,collaboration,voip-video,peer-to-peer,2,no,no,no,no,yes,no,no,yes,no
gopher,general-internet,internet-utility,client-server,1,no,no,no,no,no,no,no,no,no
slp,networking,infrastructure,network-protocol,1,no,no,no,no,yes,no,no,no,no
corba,business-systems,general-business,client-server,1,no,no,no,no,no,yes,no,yes,no
soap,business-systems,general-business,client-server,2,yes,no,no,no,no,yes,no,yes,no
hopster,networking,proxy,client-server,5,yes,no,yes,yes,no,yes,yes,yes,no
echo,business-systems,management,client-server,3,no,no,yes,no,yes,no,no,no,no
skype,collaboration,voip-video,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,yes
l2tp,networking,remote-access,client-server,2,no,no,no,no,yes,yes,no,yes,no
radius,business-systems,auth-service,client-server,1,no,no,no,no,no,no,no,yes,no
facebook-chat,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,yes,no,yes,yes
big-brother,business-systems,management,client-server,1,no,no,no,no,no,no,no,no,no
wlccp,business-systems,management,client-server,1,no,no,no,no,no,no,no,no,no
ipsec-esp,networking,encrypted-tunnel,client-server,2,no,no,no,yes,no,yes,no,yes,no
perforce,business-systems,general-business,client-server,2,no,no,no,yes,yes,no,no,no,no
razor,general-internet,internet-utility,client-server,1,no,no,no,no,yes,no,no,no,no
ospf,networking,routing,network-protocol,1,no,no,no,no,no,no,no,yes,no
ipsec-esp-udp,networking,encrypted-tunnel,client-server,2,no,no,no,yes,no,yes,no,yes,no
ipsec-ah,networking,encrypted-tunnel,client-server,1,no,no,no,no,no,yes,no,yes,no
ftp-data,general-internet,file-sharing,client-server,4,no,no,yes,yes,no,no,yes,yes,no
skype-probe,collaboration,voip-video,peer-to-peer,2,yes,no,no,no,no,no,yes,yes,no
seven-email,collaboration,email,client-server,3,yes,no,no,yes,no,yes,no,no,no
mabber,collaboration,instant-messaging,browser-based,3,yes,no,no,yes,no,no,no,yes,yes
zoho-im,collaboration,instant-messaging,browser-based,4,yes,no,no,yes,yes,no,no,yes,yes
http,networking,ip-protocol,network-protocol,5,no,no,yes,yes,yes,yes,yes,yes,no
pop3,collaboration,email,client-server,4,no,no,yes,yes,yes,yes,no,yes,no
live-meeting,collaboration,internet-conferencing,client-server,4,yes,no,no,yes,no,yes,yes,yes,yes
webshots,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,no,no,yes,no
vakaka,media,photo-video,peer-to-peer,3,yes,yes,no,no,yes,no,yes,no,no
meeting-maker,business-systems,office-programs,client-server,1,no,no,no,no,no,no,no,no,no
cgiproxy,networking,proxy,browser-based,5,yes,no,yes,yes,yes,yes,yes,yes,no
live-mesh,general-internet,file-sharing,client-server,4,yes,no,no,yes,yes,no,no,yes,no
ibackup,business-systems,storage-backup,client-server,1,no,yes,no,no,no,no,no,no,yes
trendmicro-earthagent,business-systems,software-update,client-server,1,no,no,no,no,yes,no,no,no,no
db2,business-systems,database,client-server,1,no,no,no,no,yes,no,no,no,no
yahoo-webcam,collaboration,voip-video,peer-to-peer,2,no,yes,no,no,yes,no,no,yes,yes
azureus-internal,general-internet,file-sharing,peer-to-peer,1,no,no,no,no,no,no,no,no,no
upnp,networking,infrastructure,peer-to-peer,2,no,no,no,no,yes,yes,no,no,no
orb,media,audio-streaming,browser-based,2,no,yes,no,no,yes,yes,no,no,no
yum,business-systems,management,client-server,1,no,yes,no,no,no,no,no,no,no
t.38,networking,infrastructure,network-protocol,1,no,no,no,no,yes,no,no,no,no
sightspeed,collaboration,voip-video,peer-to-peer,1,no,yes,no,no,no,no,no,no,no
msn-webmessenger,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,no,no,yes,no
socks,networking,proxy,network-protocol,5,yes,no,yes,yes,no,yes,yes,yes,no
yahoo-webmessenger,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,no,no,yes,yes
meevee,media,photo-video,browser-based,2,yes,yes,no,no,no,no,yes,no,no
qq-download,general-internet,file-sharing,peer-to-peer,4,yes,yes,no,yes,no,yes,yes,yes,no
blin,media,photo-video,peer-to-peer,3,yes,yes,no,no,no,no,yes,yes,no
sybase,business-systems,database,client-server,3,no,yes,no,no,yes,yes,no,yes,no
altiris,business-systems,management,client-server,1,no,no,no,no,no,no,no,no,no
neonet,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
ultrasurf,networking,proxy,client-server,4,yes,no,no,yes,no,yes,yes,yes,no
mocha-rdp,networking,remote-access,client-server,1,no,no,no,no,yes,no,no,no,no
apache-jserv,general-internet,internet-utility,client-server,2,no,no,no,no,yes,no,no,yes,no
cisco-nac,business-systems,auth-service,client-server,1,no,no,no,no,no,no,no,no,no
vmware,business-systems,management,client-server,2,no,yes,no,yes,no,no,no,yes,no
citrix-jedi,networking,remote-access,client-server,2,yes,no,no,no,no,yes,no,yes,no
r-services,networking,remote-access,client-server,5,yes,no,yes,yes,yes,no,no,yes,no
open-vpn,networking,encrypted-tunnel,client-server,3,no,no,no,yes,yes,yes,no,yes,no
ike,networking,encrypted-tunnel,client-server,2,no,no,no,no,yes,yes,no,yes,no
