app,"app:category","app:subcategory","app:technology","app:risk","app:evasive","app:excessive_bandwidth","app:used_by_malware","app:able_to_transfer_file","app:has_known_vulnerability","app:tunnels_other_application","app:prone_to_misuse","app:pervasive_use","app:is_saas","app:default_ports"
flixster,collaboration,"social-networking","browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/80"
"flixwagon-base",media,"photo-video","client-server",1,no,no,no,no,no,no,no,no,no,"tcp/80"
"flixwagon-broadcasting",media,"photo-video","client-server",2,yes,yes,no,no,no,no,no,no,no,"tcp/80,82,86"
"flixwagon-downloading",media,"photo-video","client-server",3,yes,yes,no,yes,no,no,no,no,no,"tcp/80"
"flixwagon-posting",collaboration,"social-networking","client-server",1,no,no,no,no,no,no,no,no,no,"tcp/80"
"flixwagon-sharing",collaboration,"social-networking","client-server",1,no,no,no,no,no,no,no,no,no,"tcp/80"
flumotion,media,"photo-video","browser-based",3,yes,yes,no,no,yes,no,no,yes,no,"tcp/80"
fluxiom,"general-internet","file-sharing","browser-based",4,yes,yes,no,yes,yes,no,no,yes,yes,"tcp/443,80"
"fly-proxy",networking,proxy,"browser-based",4,yes,no,no,no,yes,yes,yes,no,no,"tcp/443,80"
fogbugz,"business-systems","erp-crm","browser-based",2,no,no,no,yes,yes,no,no,no,yes,"tcp/443,80"
foldera,networking,"remote-access","client-server",5,yes,yes,no,yes,yes,yes,yes,yes,no,"tcp/80"
foldershare,"general-internet","file-sharing","browser-based",3,yes,yes,no,yes,no,no,no,yes,no,"tcp/443"
"folding-at-home","general-internet","internet-utility","client-server",1,no,yes,no,no,no,no,no,yes,no,"tcp/80"
foonz,collaboration,"voip-video","browser-based",1,no,yes,no,no,no,no,no,yes,no,"tcp/80"
"forticlient-update","business-systems","software-update","client-server",2,yes,no,no,no,yes,no,no,no,no,"tcp/80"
"fortiguard-webfilter",networking,infrastructure,"network-protocol",2,yes,no,no,no,yes,no,no,no,no,"udp/53|udp/8888"
forward,networking,"encrypted-tunnel","client-server",3,no,no,no,yes,yes,no,yes,no,no,"tcp/443,80"
fotki,media,"photo-video","browser-based",3,no,no,no,yes,yes,no,no,yes,no,"tcp/443|tcp/80"
fotoweb,media,"photo-video","browser-based",3,yes,no,no,yes,yes,no,no,no,no,"tcp/80"
foursquare,collaboration,"social-networking","browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/80,443"
foxy,"general-internet","file-sharing","peer-to-peer",5,yes,yes,yes,yes,yes,no,yes,yes,no,"tcp/80|udp/dynamic"
freecast,media,"audio-streaming","browser-based",2,yes,yes,no,no,no,no,no,yes,no,"tcp/80,1667|udp/1664"
freedome,networking,"encrypted-tunnel","client-server",4,yes,no,no,yes,no,yes,yes,yes,no,"tcp/443|udp/dynamic"
freeetv,media,"photo-video","browser-based",3,yes,yes,no,no,no,no,yes,yes,no,"tcp/dynamic"
freegate,networking,proxy,"client-server",4,yes,no,no,yes,no,yes,yes,yes,no,"tcp/dynamic|udp/dynamic"
freenet,networking,"encrypted-tunnel","peer-to-peer",5,yes,yes,yes,yes,yes,yes,yes,no,no,"udp/dynamic"
"freepp-mobile",collaboration,"voip-video","client-server",3,no,yes,no,yes,yes,no,no,yes,yes,"tcp/80|udp/dynamic"
freshbooks,"business-systems","general-business","browser-based",1,no,no,no,no,yes,no,no,no,yes,"tcp/443|tcp/80"
friendfeed,collaboration,"social-networking","browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/80,443"
friendster,collaboration,"social-networking","browser-based",3,no,no,no,yes,yes,no,no,yes,no,"tcp/80"
friendvox,collaboration,"instant-messaging","browser-based",4,yes,no,yes,yes,no,no,no,yes,no,"tcp/443|tcp/80"
fring,collaboration,"voip-video","client-server",1,no,yes,no,no,no,no,no,yes,yes,"tcp/dynamic|udp/dynamic"
frozenway,networking,"encrypted-tunnel","client-server",4,yes,no,no,yes,yes,yes,yes,no,no,"tcp/80,443"
fs2you,"general-internet","file-sharing","browser-based",4,yes,yes,no,yes,yes,no,yes,yes,no,"tcp/80,3128|udp/3128"
ftp,"general-internet","file-sharing","client-server",5,no,yes,yes,yes,yes,yes,yes,yes,no,"tcp/21"
fufox,"general-internet","file-sharing","browser-based",5,yes,yes,yes,yes,yes,no,yes,yes,no,"tcp/80"
funshion,media,"photo-video","client-server",5,yes,yes,yes,yes,yes,no,no,no,no,"tcp/dynamic|udp/dynamic"
"fuze-meeting-base",collaboration,"internet-conferencing","browser-based",1,no,no,no,no,yes,no,no,no,yes,"tcp/443,dynamic"
"fuze-meeting-desktop-sharing",collaboration,"internet-conferencing","browser-based",1,no,yes,no,no,no,no,no,no,yes,"tcp/dynamic"
"fuze-meeting-file-sharing","general-internet","file-sharing","browser-based",4,yes,yes,no,yes,yes,no,no,no,yes,"tcp/443"
"g.ho.st","general-internet","internet-utility","browser-based",4,yes,no,no,yes,yes,yes,no,no,no,"tcp/dynamic"
"gadu-gadu",collaboration,"instant-messaging","client-server",4,yes,no,yes,yes,no,no,no,yes,no,"tcp/dynamic|udp/dynamic"
gamespy,media,gaming,"client-server",2,yes,no,no,no,no,no,no,yes,no,"tcp/80,29900"
garena,media,gaming,"client-server",1,no,yes,no,no,no,no,no,yes,no,"tcp/80,6788,6789,7456,8687,9100,9200|udp/1513,1514"
"gatherplace-base",collaboration,"internet-conferencing","client-server",3,yes,no,no,no,yes,no,no,yes,yes,"tcp/443,80|udp/4569"
"gatherplace-desktop-sharing",collaboration,"internet-conferencing","client-server",3,yes,yes,no,no,no,no,yes,yes,yes,"tcp/443"
gbridge,networking,"encrypted-tunnel","client-server",5,yes,no,no,yes,yes,yes,yes,yes,no,"tcp/dynamic|udp/dynamic"
gdbremote,networking,"remote-access","client-server",1,no,no,no,yes,no,no,no,no,no,"tcp/2159,40000"
"gds-db","business-systems",database,"client-server",1,no,no,no,no,yes,no,no,no,no,"tcp/3050"
"generic-p2p","general-internet","file-sharing","peer-to-peer",5,yes,yes,yes,yes,yes,no,yes,yes,no,"udp/dynamic"
"genesys-base",collaboration,"internet-conferencing","client-server",4,yes,yes,no,no,yes,yes,no,yes,no,"tcp/443,80"
"genesys-desktop-sharing",collaboration,"internet-conferencing","client-server",3,yes,yes,no,no,no,no,yes,yes,yes,"tcp/443"
ggp,networking,"ip-protocol","network-protocol",1,no,no,no,no,no,no,no,no,no,
ghostsurf,networking,proxy,"client-server",4,yes,no,no,yes,no,yes,yes,no,no,"tcp/8888"
gifboom,collaboration,"social-networking","browser-based",3,no,no,no,yes,yes,no,yes,yes,no,"tcp/80"
gigaup,"general-internet","file-sharing","browser-based",3,no,yes,no,yes,yes,no,yes,no,no,"tcp/80,443,21"
"git-base","business-systems","general-business","client-server",3,no,no,no,yes,yes,yes,no,no,no,"tcp/80,443,9418"
"git-uploading","business-systems","general-business","client-server",3,no,no,no,yes,yes,yes,no,yes,yes,"tcp/443,80"
"github-base","business-systems",management,"client-server",2,no,no,no,yes,no,yes,no,yes,yes,"tcp/22,80,443,9418"
"github-uploading","business-systems",management,"client-server",3,no,no,no,yes,yes,no,no,yes,yes,"tcp/443"
gizmo,collaboration,"voip-video","peer-to-peer",5,yes,yes,yes,yes,yes,no,no,yes,no,"tcp/dynamic|udp/dynamic"
gkrellm,"business-systems",management,"client-server",1,no,no,no,no,yes,no,no,no,no,"tcp/19150"
glide,networking,"remote-access","browser-based",4,yes,no,no,yes,yes,yes,no,no,no,"tcp/dynamic"
"globalmeet-base",collaboration,"internet-conferencing","client-server",2,no,no,no,no,yes,yes,no,no,yes,"tcp/443|tcp/80"
"globalmeet-file-transfer",collaboration,"internet-conferencing","client-server",2,no,no,no,yes,yes,no,no,no,yes,"tcp/443"
"glype-proxy",networking,proxy,"browser-based",5,yes,no,yes,yes,yes,yes,yes,yes,no,"tcp/80,443"
"gmail-base",collaboration,email,"browser-based",4,no,no,yes,yes,yes,yes,no,yes,yes,"tcp/80,443"
"gmail-call-phone",collaboration,"voip-video","browser-based",1,no,no,no,no,no,no,no,no,no,"udp/19525,dynamic"
"gmail-chat",collaboration,"instant-messaging","browser-based",3,yes,no,no,no,yes,no,no,yes,no,"tcp/80,443"
"gmail-drive","general-internet","file-sharing","client-server",3,yes,no,no,yes,yes,no,no,no,yes,"tcp/80"
"gmail-enterprise",collaboration,email,"browser-based",4,no,no,yes,yes,yes,no,no,yes,yes,"tcp/80|tcp/443"
"gmail-video-chat",collaboration,"voip-video","browser-based",2,yes,yes,no,no,no,no,no,yes,no,"tcp/dynamic|udp/19525,dynamic"
gmtp,networking,"ip-protocol","network-protocol",1,no,no,no,no,no,no,no,no,no,
"gmx-mail",collaboration,email,"browser-based",4,yes,no,no,yes,yes,no,no,yes,yes,"tcp/80,443"
"gnu-httptunnel",networking,proxy,"client-server",5,yes,no,yes,yes,yes,yes,yes,no,no,"tcp/80"
gnunet,"general-internet","file-sharing","peer-to-peer",5,yes,yes,yes,yes,yes,no,yes,yes,no,"tcp/80,2086|udp/2086"
gnutella,"general-internet","file-sharing","peer-to-peer",5,yes,yes,yes,yes,yes,yes,yes,yes,no,"tcp/dynamic|udp/dynamic"
goagent,networking,proxy,"client-server",4,no,no,no,yes,yes,yes,yes,no,no,"tcp/80,443"
goboogy,"general-internet","file-sharing","peer-to-peer",5,yes,yes,yes,yes,yes,no,yes,yes,no,"tcp/5325|udp/5325"
gogobox,collaboration,"social-networking","browser-based",4,no,yes,yes,yes,yes,no,no,yes,no,"tcp/80,8001-8499"
gomeetnow,collaboration,"internet-conferencing","client-server",2,no,no,no,yes,no,no,no,yes,yes,"tcp/8889,443,80|udp/8889"
"good-direct-connect","business-systems","office-programs","client-server",1,no,no,no,no,no,no,no,no,no,"tcp/17533"
"good-for-enterprise","business-systems","office-programs","client-server",1,no,no,no,yes,no,no,no,no,no,"tcp/80,443,15000|udp/12000"
goodsync,"general-internet","file-sharing","client-server",2,no,no,no,yes,yes,no,no,no,no,"tcp/80,33333|udp/33338,33339"
"google-analytics","general-internet","internet-utility","browser-based",2,yes,no,no,no,no,no,no,yes,yes,"tcp/80,443"
"google-app-engine","general-internet","internet-utility","browser-based",3,no,no,no,yes,yes,yes,no,yes,no,"tcp/80,443"
"google-app-engine-uploading","general-internet","internet-utility","browser-based",2,no,no,no,yes,no,no,yes,yes,yes,"tcp/443"
"google-buzz",collaboration,"instant-messaging","browser-based",4,yes,no,yes,no,yes,no,no,yes,no,"tcp/80"
"google-cache","general-internet","internet-utility","browser-based",3,yes,no,no,no,yes,no,no,yes,no,"tcp/80"
"google-calendar-base","business-systems","office-programs","browser-based",2,no,no,no,yes,no,no,no,yes,yes,"tcp/80,443"
"google-calendar-enterprise","business-systems","office-programs","browser-based",2,no,no,no,no,yes,no,no,yes,yes,"tcp/80,443"
"google-classroom",collaboration,"social-networking","browser-based",2,no,no,no,yes,no,no,no,yes,yes,"tcp/80,443"
"google-cloud-messaging","general-internet","internet-utility","client-server",1,no,no,no,no,no,no,no,no,no,"tcp/5228,5229,5230,443"
"google-cloud-print","general-internet","internet-utility","browser-based",2,no,no,no,yes,yes,no,no,no,yes,"tcp/443"
"google-cloud-storage-base","general-internet","file-sharing","browser-based",2,no,no,no,yes,no,yes,no,no,yes,"tcp/80,443"
"google-cloud-storage-upload","general-internet","file-sharing","browser-based",3,yes,no,no,yes,no,no,yes,yes,yes,"tcp/80,443"
"google-desktop","general-internet","internet-utility","client-server",4,yes,no,no,yes,yes,no,yes,yes,no,"tcp/80"
"google-docs-base","business-systems","office-programs","browser-based",5,yes,no,yes,yes,yes,no,no,yes,yes,"tcp/443|tcp/80"
"google-docs-editing","business-systems","office-programs","browser-based",4,yes,no,yes,no,yes,no,no,yes,yes,"tcp/80,443"
"google-docs-enterprise","business-systems","office-programs","browser-based",5,yes,no,yes,yes,yes,no,no,yes,yes,"tcp/80,443"
"google-docs-uploading","business-systems","office-programs","browser-based",5,yes,yes,yes,yes,yes,no,no,yes,yes,"tcp/80,443"
"google-drive-web","general-internet","file-sharing","browser-based",5,yes,no,yes,yes,yes,no,no,yes,yes,"tcp/443,80"
"google-earth","general-internet","internet-utility","client-server",3,yes,yes,no,yes,no,no,no,yes,no,"tcp/80,443"
"google-finance-posting",collaboration,"web-posting","browser-based",2,no,no,no,no,yes,no,yes,yes,no,"tcp/80"
"google-hangouts-base",collaboration,"voip-video","browser-based",3,no,yes,no,yes,yes,no,no,yes,yes,"tcp/80,443,5222"
"google-hangouts-audio-video",collaboration,"voip-video","browser-based",3,no,yes,no,yes,yes,no,no,yes,yes,"tcp/80,443"
"google-hangouts-chat",collaboration,"instant-messaging","browser-based",4,yes,no,no,yes,yes,no,no,yes,no,"tcp/80,443"
"google-keep","general-internet","internet-utility","client-server",2,no,no,no,yes,no,no,no,yes,yes,"tcp/80,443"
"google-lively",collaboration,"instant-messaging","browser-based",3,yes,yes,no,no,yes,no,no,no,no,"tcp/8182|udp/3128,8182"
"google-location-service","general-internet","internet-utility","browser-based",2,no,no,no,no,yes,no,yes,yes,no,"tcp/443"
"google-maps","general-internet","internet-utility","browser-based",2,no,no,no,no,yes,yes,no,yes,no,"tcp/80,443"
"google-music",media,"audio-streaming","client-server",3,yes,yes,no,yes,no,no,no,no,no,"tcp/443,80"
"google-picasa",media,"photo-video","client-server",3,yes,yes,no,yes,no,no,no,yes,no,"tcp/80,443"
"google-play","general-internet","internet-utility","browser-based",3,no,yes,no,yes,yes,no,no,yes,no,"tcp/443,80,5228|udp/5228"
"google-plus-base",collaboration,"social-networking","browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/443"
"google-plus-email",collaboration,email,"browser-based",2,no,no,no,no,yes,no,no,yes,yes,"tcp/443"
"google-plus-posting",collaboration,"social-networking","browser-based",3,no,no,no,yes,yes,no,no,yes,no,"tcp/443"
"google-safebrowsing","general-internet","internet-utility","browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/80"
"google-talk-base",collaboration,"instant-messaging","client-server",4,yes,no,yes,no,yes,yes,no,yes,no,"tcp/80,443,5222,5223,5228"
"gtalk-file-transfer","general-internet","file-sharing","peer-to-peer",5,yes,no,yes,yes,yes,yes,no,yes,no,"tcp/dynamic|udp/dynamic"
"google-talk-gadget",collaboration,"instant-messaging","browser-based",3,yes,no,no,no,yes,no,no,yes,no,"tcp/443|tcp/80"
"google-toolbar","general-internet","internet-utility","client-server",2,no,yes,no,no,no,no,yes,yes,no,"tcp/80"
"google-translate-base","general-internet","internet-utility","browser-based",2,no,no,no,yes,no,yes,no,yes,no,"tcp/80,443"
"google-translate-auto","general-internet","internet-utility","browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/80,443"
"google-translate-manual","general-internet","internet-utility","browser-based",2,no,no,no,no,yes,no,yes,yes,no,"tcp/80,443"
"google-update","business-systems","software-update","browser-based",3,no,no,no,yes,yes,no,no,yes,no,"tcp/80"
"google-video-base",media,"photo-video","browser-based",3,no,yes,no,no,yes,yes,no,yes,no,"tcp/80"
"google-video-enterprise",media,"photo-video","browser-based",3,no,yes,no,yes,yes,no,no,no,no,"tcp/80,443"
"google-voice-actions","general-internet","internet-utility","client-server",1,no,no,no,no,no,no,no,yes,no,"tcp/14259,443"
"google-wave",collaboration,"internet-conferencing","browser-based",3,no,no,no,yes,yes,yes,no,yes,no,"tcp/443,80"
gopher,"general-internet","internet-utility","client-server",1,no,no,no,no,no,no,no,no,no,"tcp/70"
gotoassist,networking,"remote-access","browser-based",2,no,no,no,no,yes,no,no,yes,yes,"tcp/443,80"
gotodevice,networking,"remote-access","client-server",3,yes,yes,no,yes,no,yes,no,no,no,"tcp/2217|udp/2217"
gotomeeting,collaboration,"internet-conferencing","client-server",3,yes,no,no,yes,no,no,yes,yes,yes,"tcp/80,443,1853|udp/1853"
"gotomypc-base",networking,"remote-access","client-server",2,yes,no,no,no,no,no,yes,yes,yes,"tcp/dynamic"
"gotomypc-desktop-sharing",networking,"remote-access","client-server",2,yes,yes,no,no,no,no,no,yes,yes,"tcp/443"
"gotomypc-file-transfer","general-internet","file-sharing","client-server",3,yes,no,no,yes,no,no,no,yes,yes,"tcp/443,8200"
"gotomypc-printing",networking,"remote-access","client-server",2,yes,no,no,no,no,no,no,yes,yes,"tcp/443,8200"
"gotomypc-remote-control",networking,"remote-access","client-server",2,yes,no,no,no,no,no,no,yes,yes,"tcp/443,8200"
gpass,networking,"encrypted-tunnel","client-server",4,yes,no,no,yes,no,yes,yes,yes,no,"tcp/80,8080"
"gpass-proxy",networking,proxy,"browser-based",4,yes,no,no,yes,yes,yes,yes,no,no,"tcp/80"
"graboid-video",media,"photo-video","client-server",4,yes,yes,no,yes,yes,no,yes,no,no,"tcp/80,119"
gre,networking,routing,"network-protocol",2,no,no,no,no,yes,yes,no,yes,no,
gridftp,"general-internet","file-sharing","client-server",3,no,yes,no,yes,yes,no,no,no,no,"tcp/dynamic"
"ms-groove","business-systems","office-programs","peer-to-peer",4,yes,no,yes,yes,no,no,yes,yes,no,"tcp/80,2492"
grooveshark,media,"audio-streaming","browser-based",3,yes,yes,no,yes,no,no,no,yes,no,"tcp/443|tcp/80"
groupmax,"business-systems","general-business","client-server",3,no,no,no,yes,yes,yes,no,no,no,"tcp/dynamic"
groupwise,collaboration,email,"client-server",3,no,no,no,yes,yes,no,no,yes,no,"tcp/1677"
"gtalk-voice",collaboration,"voip-video","peer-to-peer",4,yes,yes,yes,no,yes,no,no,yes,no,"tcp/dynamic|udp/dynamic"
gtp,networking,infrastructure,"network-protocol",1,no,no,no,no,no,yes,no,yes,no,"tcp/3386|udp/2123,2152,3386"
gtunnel,networking,"encrypted-tunnel","client-server",5,yes,no,no,yes,yes,yes,yes,yes,no,"tcp/5222"
guardster,networking,proxy,"browser-based",5,yes,no,yes,yes,yes,yes,yes,yes,no,"tcp/80,443,22"
guildwars,media,gaming,"client-server",1,no,yes,no,no,no,no,no,yes,no,"tcp/6112,6600,80"
gyao,media,"photo-video","browser-based",4,yes,yes,no,yes,yes,no,no,yes,no,"tcp/443|tcp/80|tcp/dynamic"
"h.225",collaboration,"voip-video","client-server",2,no,no,no,no,yes,no,no,yes,no,"tcp/1720|udp/1719,1720"
"h.245",collaboration,"voip-video","client-server",3,no,yes,yes,no,yes,no,no,yes,no,"tcp/dynamic"
"h.248",collaboration,"voip-video","peer-to-peer",3,no,yes,yes,no,yes,no,no,yes,no,"udp/dynamic"
"h.323",collaboration,"voip-video","client-server",4,no,yes,yes,yes,yes,no,no,yes,no,"tcp/1720|tcp/1731"
"hadoop-mapreduce","business-systems",management,"client-server",2,no,no,no,no,yes,no,no,yes,no,"tcp/8021,8023,9290,50030,50060"
hamachi,networking,"encrypted-tunnel","peer-to-peer",5,yes,no,yes,yes,yes,yes,yes,yes,no,"tcp/12975,10080|udp/17771"
hamicloud,"general-internet","internet-utility","browser-based",3,no,no,no,yes,yes,no,yes,yes,yes,"tcp/80,443"
hangame,media,gaming,"browser-based",4,no,yes,no,yes,yes,yes,no,yes,no,"tcp/80"
hbase,"business-systems",database,"client-server",1,no,no,no,no,no,no,no,yes,no,"tcp/60000,60020"
hbo,media,"photo-video","client-server",1,no,yes,no,no,no,no,no,yes,no,"tcp/80,443,1935"
hdfs,"business-systems","storage-backup","client-server",4,no,yes,no,yes,yes,yes,no,yes,no,"tcp/8020,8022,9000,50010,50020,50070,50075,50470,50475,50090,50105"
"heroix-longitude","business-systems",management,"client-server",1,no,no,no,no,no,no,no,yes,no,"tcp/7220|tcp/7223|tcp/7229"
hi5,collaboration,"social-networking","browser-based",2,no,yes,no,yes,no,no,no,yes,no,"tcp/80"
highrise,"business-systems","erp-crm","browser-based",1,no,no,no,no,no,no,no,yes,yes,"tcp/443,80"
"hightail-base","general-internet","file-sharing","browser-based",3,no,yes,no,yes,yes,no,no,yes,yes,"tcp/80,443"
"hightail-uploading","general-internet","file-sharing","browser-based",3,no,yes,no,yes,yes,no,no,yes,yes,"tcp/443"
"hinet-webmail",collaboration,email,"browser-based",3,no,no,no,yes,yes,no,no,yes,yes,"tcp/80,443"
hip,networking,"ip-protocol","network-protocol",1,no,no,no,no,no,no,no,no,no,
"hipchat-base",collaboration,"instant-messaging","client-server",2,no,yes,no,yes,no,no,no,no,yes,"tcp/80,443,5222,5223|udp/dynamic"
"hipchat-audio-video",collaboration,"voip-video","peer-to-peer",1,no,yes,no,no,no,no,no,yes,no,"udp/443,540,541"
"hipchat-file-transfer",collaboration,"instant-messaging","client-server",1,no,no,no,yes,no,no,no,no,no,"tcp/443,80"
"hitachi-spc","business-systems","general-business","client-server",1,no,no,no,no,no,no,no,no,no,"tcp/20016"
hl7,"business-systems","general-business","client-server",1,no,no,no,no,no,no,no,yes,no,"tcp/dynamic"
hmp,networking,"ip-protocol","network-protocol",1,no,no,no,no,no,no,no,no,no,
"hola-unblocker",networking,"encrypted-tunnel","client-server",4,yes,no,no,yes,yes,no,no,yes,no,"tcp/80,6851,6861,443"
homepipe,"general-internet","file-sharing","client-server",4,yes,yes,no,yes,yes,no,no,no,no,"tcp/443"
"hong-kong-toolbar",media,"audio-streaming","client-server",3,no,yes,no,yes,yes,no,no,yes,no,"tcp/80,443|udp/9000,9200"
hootsuite,collaboration,"social-networking","browser-based",3,no,no,no,yes,yes,no,no,yes,yes,"tcp/80,443"
hopopt,networking,routing,"network-protocol",1,no,no,no,no,no,no,no,yes,no,
hopster,networking,proxy,"client-server",5,yes,no,yes,yes,no,yes,yes,yes,no,"tcp/443"
horde,collaboration,email,"browser-based",5,yes,no,yes,yes,yes,no,no,yes,no,"tcp/80"
hosproxy,networking,proxy,"client-server",1,no,no,no,no,no,no,no,no,no,"tcp/25"
host,networking,"ip-protocol","network-protocol",1,no,no,no,no,no,no,no,no,no,
hotfile,"general-internet","file-sharing","browser-based",5,yes,yes,yes,yes,yes,no,no,yes,no,"tcp/80"
hotline,"general-internet","file-sharing","client-server",5,yes,yes,yes,yes,yes,no,yes,yes,no,"tcp/5500-5503"
hotmail,collaboration,email,"browser-based",4,no,no,yes,yes,yes,no,no,yes,no,"tcp/443,995|tcp/80"
"hotspot-shield",networking,"encrypted-tunnel","client-server",3,yes,no,no,yes,no,yes,no,yes,no,"tcp/dynamic|udp/dynamic"
hovrs,collaboration,"instant-messaging","client-server",1,no,no,no,no,no,no,no,no,no,"tcp/443,10002"
"howardforums-posting",collaboration,"web-posting","browser-based",3,no,no,no,yes,yes,no,no,yes,no,"tcp/80"
"hp-data-protector","business-systems","storage-backup","client-server",1,no,yes,no,no,no,no,no,no,no,"tcp/dynamic"
"hp-eprint-service","general-internet","internet-utility","client-server",1,no,no,no,yes,no,no,no,no,no,"tcp/443"
"hp-ilo","business-systems",management,"client-server",1,no,no,no,no,no,no,no,no,no,"tcp/17990"
"hp-jetdirect","business-systems",management,"client-server",3,no,no,yes,no,yes,no,no,yes,no,"tcp/9100"
"hp-update","business-systems","software-update","client-server",1,no,no,no,no,yes,no,no,no,no,"tcp/80"
"hp-virtual-rooms",collaboration,"internet-conferencing","client-server",2,no,no,no,yes,yes,no,no,no,yes,"tcp/80,443,5228"
hsrp,networking,routing,"network-protocol",1,no,no,no,no,yes,no,no,no,no,"udp/1985"
"http-audio",media,"audio-streaming","browser-based",5,no,yes,yes,yes,yes,yes,no,yes,no,"tcp/80"
"http-nsri","general-internet","internet-utility","browser-based",4,no,no,yes,yes,yes,yes,no,no,no,"tcp/80"
"http-proxy",networking,proxy,"browser-based",5,yes,no,yes,yes,yes,yes,yes,yes,no,"tcp/80,443,1080,3128,8000,8080"
"http-tunnel",networking,proxy,"client-server",5,yes,no,yes,yes,no,yes,yes,yes,no,"tcp/80"
"http-video",media,"photo-video","browser-based",5,no,yes,yes,yes,yes,yes,no,yes,no,"tcp/80"
httport,networking,proxy,"client-server",5,yes,no,yes,yes,no,yes,yes,yes,no,"tcp/80|tcp/3180"
hubspot,"business-systems",marketing,"browser-based",2,no,no,no,yes,yes,no,no,no,yes,"tcp/80,443"
"huddle-base","business-systems",management,"browser-based",2,no,no,no,yes,no,yes,no,no,yes,"tcp/443,80"
"huddle-uploading","general-internet","file-sharing","browser-based",1,no,no,no,yes,no,no,no,no,yes,"tcp/443,80"
hulft,"business-systems",management,"client-server",3,no,yes,no,yes,yes,no,no,no,no,"tcp/dynamic"
"hulu-base",media,"photo-video","browser-based",2,yes,yes,no,no,no,no,no,yes,no,"tcp/1935|tcp/443|tcp/80"
"hulu-posting",collaboration,"web-posting","browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/1935|tcp/443|tcp/80"
hushmail,collaboration,email,"browser-based",3,no,no,no,yes,yes,no,no,yes,yes,"tcp/443"
"hyves-base",collaboration,"social-networking","browser-based",3,no,no,no,yes,yes,yes,no,yes,no,"tcp/80,443"
"hyves-chat",collaboration,"instant-messaging","client-server",2,no,no,no,no,yes,no,no,yes,no,"tcp/80,5222"
"hyves-games",media,gaming,"browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/80"
"hyves-mail",collaboration,email,"browser-based",3,no,no,yes,no,yes,no,no,yes,yes,"tcp/80"
"hyves-music",media,"audio-streaming","browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/80"
"i-nlsp",networking,"ip-protocol","network-protocol",1,no,no,no,no,no,no,no,no,no,
i2p,networking,"encrypted-tunnel","client-server",4,yes,yes,no,yes,no,yes,yes,no,no,"tcp/dynamic|udp/dynamic"
iatp,networking,"ip-protocol","network-protocol",1,no,no,no,no,no,no,no,no,no,
ibackup,"business-systems","storage-backup","client-server",1,no,yes,no,no,no,no,no,no,yes,"tcp/443,80"
"ibm-bigfix","business-systems",management,"client-server",2,no,no,no,no,yes,no,no,yes,no,"tcp/80,52311|udp/52311"
"ibm-clearcase","business-systems","general-business","client-server",2,no,no,no,yes,yes,no,no,no,no,"udp/371"
"ibm-clearquest","business-systems",management,"client-server",1,no,no,no,no,no,no,no,no,no,"tcp/dynamic"
"ibm-connect-direct","general-internet","file-sharing","client-server",1,no,no,no,yes,no,no,no,no,no,"tcp/1363,1364"
"ibm-director","business-systems",management,"client-server",1,no,no,no,no,no,no,no,no,no,"tcp/2033"
informix,"business-systems",database,"client-server",2,no,no,no,no,yes,no,no,yes,no,"tcp/dynamic"
"ibm-mobile-connect",networking,"encrypted-tunnel","client-server",2,no,no,no,yes,no,yes,no,yes,no,"udp/8889"
"ibm-rmc","business-systems",management,"client-server",1,no,no,no,no,no,no,no,no,no,"udp/657"
"ibm-soliddb","business-systems",database,"client-server",1,no,no,no,no,no,no,no,yes,no,"tcp/dynamic"
"tivoli-storage-manager","business-systems","storage-backup","client-server",3,no,no,no,yes,yes,yes,no,yes,no,"tcp/1500,1580,1583"
"ibm-websphere-mq","business-systems","general-business","client-server",1,no,no,no,no,no,no,no,yes,no,"tcp/dynamic"
icap,"general-internet","internet-utility","network-protocol",1,no,no,no,no,no,no,no,no,no,"tcp/dynamic"
iccp,"business-systems",management,"network-protocol",1,no,no,no,no,yes,no,no,no,no,"tcp/102"
icecast,media,"audio-streaming","client-server",1,no,no,no,no,yes,no,no,no,no,"tcp/8000,80"
"ichat-av",collaboration,"voip-video","peer-to-peer",3,no,yes,yes,no,yes,no,no,yes,no,"udp/dynamic"
"icloud-base","general-internet","internet-utility","client-server",2,no,no,no,yes,no,no,no,yes,yes,"tcp/80,443"
"icloud-mail",collaboration,email,"client-server",2,no,no,no,yes,no,no,no,yes,yes,"tcp/80,443,993,587"
icmp,networking,"ip-protocol","network-protocol",4,no,no,yes,no,yes,yes,no,yes,no,
icmpsh,networking,"encrypted-tunnel","client-server",4,yes,no,no,yes,no,yes,yes,no,no,
icq,collaboration,"instant-messaging","client-server",4,no,no,yes,no,yes,yes,no,yes,no,"tcp/5190-5199"
icq2go,collaboration,"instant-messaging","browser-based",3,no,no,yes,no,yes,no,no,yes,no,"tcp/443|tcp/80"
