app,"app:category","app:subcategory","app:technology","app:risk","app:evasive","app:excessive_bandwidth","app:used_by_malware","app:able_to_transfer_file","app:has_known_vulnerability","app:tunnels_other_application","app:prone_to_misuse","app:pervasive_use","app:is_saas","app:default_ports"
afp,"business-systems","storage-backup","client-server",3,no,yes,no,yes,yes,no,no,yes,no,"tcp/548|udp/548"
afreeca,media,"photo-video","browser-based",4,no,yes,yes,yes,yes,no,no,yes,no,"tcp/80,1935,8000-8150"
afs,"business-systems","storage-backup","client-server",3,no,no,no,yes,yes,no,no,yes,no,"udp/7000-7009,7021"
afterschool,collaboration,"social-networking","browser-based",2,no,no,no,yes,yes,no,no,no,no,"tcp/80,443"
"aim-base",collaboration,"instant-messaging","client-server",4,no,no,yes,no,yes,yes,no,yes,no,"tcp/80,443,5190-5199"
"aim-audio",collaboration,"voip-video","peer-to-peer",5,yes,no,yes,yes,yes,no,no,yes,no,"udp/dynamic"
"aim-express-base",collaboration,"instant-messaging","browser-based",4,yes,no,yes,no,yes,yes,no,yes,no,"tcp/443|tcp/80"
"aim-express-file-transfer","general-internet","file-sharing","browser-based",3,no,no,no,yes,yes,no,no,yes,yes,"tcp/80"
"aim-file-transfer","general-internet","file-sharing","peer-to-peer",4,no,no,yes,yes,yes,no,no,yes,no,"tcp/80,443,5190-5199"
"aim-mail",collaboration,email,"browser-based",4,no,no,yes,yes,yes,no,no,yes,yes,"tcp/80,443,110,25,587,143"
"aim-video",collaboration,"voip-video","peer-to-peer",3,no,yes,yes,no,yes,no,no,yes,no,"tcp/1935|udp/dynamic"
"air-video",media,"audio-streaming","client-server",1,no,no,no,yes,no,no,no,no,no,"tcp/dynamic"
airaim,collaboration,"instant-messaging","browser-based",2,yes,no,no,no,yes,no,no,no,no,"tcp/80"
airdroid,networking,"remote-access","browser-based",3,no,no,no,yes,yes,no,no,yes,no,"tcp/443,80,8090,8765,8888,8889,9000,9081,9088,9096,9100,9200,9990,9991"
airtime,collaboration,"voip-video","browser-based",2,no,yes,no,no,yes,no,no,no,yes,"tcp/dynamic|udp/dynamic"
"akamai-client","general-internet","file-sharing","client-server",3,no,yes,no,yes,yes,no,no,no,no,"tcp/80"
"ali-wangwang-base",collaboration,"instant-messaging","client-server",3,yes,no,no,no,yes,no,no,yes,no,"tcp/80,dynamic|udp/dynamic"
"ali-wangwang-audio-video",collaboration,"voip-video","client-server",2,yes,yes,no,no,no,no,no,yes,yes,"tcp/dynamic|udp/dynamic"
"ali-wangwang-file-transfer","general-internet","file-sharing","client-server",3,yes,yes,no,yes,no,no,no,yes,yes,"tcp/dynamic|udp/dynamic"
"ali-wangwang-remote-control",networking,"remote-access","client-server",2,yes,no,no,no,no,no,yes,yes,no,"tcp/443,dynamic|udp/dynamic"
alisoft,"business-systems",management,"browser-based",3,no,no,no,yes,yes,no,no,yes,yes,"tcp/80"
"all-slots-casino",media,gaming,"client-server",4,yes,yes,no,no,yes,no,yes,yes,no,"tcp/443|tcp/80"
